MAP_ID;MAP_DESCRIPTION;AREA_ID;AREA_LB_0;AREA_LB_1;AREA_LB_2
0;sardegna;0;SARDEGNA;SARDEGNA;SARDEGNA
1;comuni;184;CO: OLBIA;OLBIA;SASSARI
1;comuni;86;CO: ELMAS;ELMAS;CAGLIARI
1;comuni;18;CO: ASSOLO;ASSOLO;ORISTANO
1;comuni;15;CO: ARZACHENA;ARZACHENA;SASSARI
1;comuni;19;CO: ASUNI;ASUNI;ORISTANO
1;comuni;68;CO: CASTIADAS;CASTIADAS;SUD SARDEGNA
1;comuni;232;CO: QUARTUCCIU;QUARTUCCIU;CAGLIARI
1;comuni;355;CO: VILLAPUTZU;VILLAPUTZU;SUD SARDEGNA
1;comuni;297;CO: SODDI';SODDI';ORISTANO
1;comuni;357;CO: VILLASIMIUS;VILLASIMIUS;SUD SARDEGNA
1;comuni;344;CO: VILLA SAN PIETRO;VILLA SAN PIETRO;CAGLIARI
1;comuni;356;CO: VILLASALTO;VILLASALTO;SUD SARDEGNA
1;comuni;75;CO: CURCURIS POMPU;CURCURIS;ORISTANO
1;comuni;271;CO: SENEGHE;SENEGHE;ORISTANO
1;comuni;265;CO: SEDILO;SEDILO;ORISTANO
1;comuni;264;CO: SCANO DI MONTIFERRO;SCANO DI MONTIFERRO;ORISTANO
1;comuni;285;CO: SIAPICCIA;SIAPICCIA;ORISTANO
1;comuni;362;CO: ZERFALIU;ZERFALIU;ORISTANO
1;comuni;361;CO: ZEDDIANI;ZEDDIANI;ORISTANO
1;comuni;359;CO: VILLASPECIOSA;VILLASPECIOSA;SUD SARDEGNA
1;comuni;358;CO: VILLASOR;VILLASOR;SUD SARDEGNA
1;comuni;60;CO: CALANGIANUS;CALANGIANUS;SASSARI
1;comuni;50;CO: BUDDUSO';BUDDUSO';SASSARI
1;comuni;47;CO: BORTIGIADAS;BORTIGIADAS;SASSARI
1;comuni;127;CO: LA MADDALENA;LA MADDALENA;SASSARI
1;comuni;248;CO: SAN VERO MILIS;SAN VERO MILIS;ORISTANO
1;comuni;34;CO: BERCHIDDA;BERCHIDDA;SASSARI
1;comuni;160;CO: MONTI;MONTI;SASSARI
1;comuni;140;CO: LUOGOSANTO;LUOGOSANTO;SASSARI
1;comuni;141;CO: LURAS;LURAS;SASSARI
1;comuni;348;CO: VILLAMAR;VILLAMAR;SUD SARDEGNA
1;comuni;346;CO: VILLACIDRO;VILLACIDRO;SUD SARDEGNA
1;comuni;352;CO: VILLANOVAFORRU;VILLANOVAFORRU;SUD SARDEGNA
1;comuni;349;CO: VILLAMASSARGIA;VILLAMASSARGIA;SUD SARDEGNA
1;comuni;334;CO: URZULEI;URZULEI;NUORO
1;comuni;331;CO: ULASSAI;ULASSAI;NUORO
1;comuni;325;CO: TRIEI;TRIEI;NUORO
1;comuni;321;CO: TORTOLI';TORTOLI';NUORO
1;comuni;338;CO: USSARAMANNA;USSARAMANNA;SUD SARDEGNA
1;comuni;329;CO: TURRI;TURRI;SUD SARDEGNA
1;comuni;327;CO: TUILI;TUILI;SUD SARDEGNA
1;comuni;323;CO: TRATALIAS;TRATALIAS;SUD SARDEGNA
1;comuni;58;CO: CABRAS;CABRAS;ORISTANO
1;comuni;74;CO: CUGLIERI;CUGLIERI;ORISTANO
1;comuni;354;CO: VILLAPERUCCIO;VILLAPERUCCIO;SUD SARDEGNA
1;comuni;150;CO: MASAINAS;MASAINAS;SUD SARDEGNA
1;comuni;353;CO: VILLANOVAFRANCA;VILLANOVAFRANCA;SUD SARDEGNA
1;comuni;223;CO: PISCINAS;PISCINAS;SUD SARDEGNA
1;comuni;57;CO: BUSACHI;BUSACHI;ORISTANO
1;comuni;247;CO: SAN TEODORO;SAN TEODORO;SASSARI
1;comuni;311;CO: TERTENIA;TERTENIA;NUORO
1;comuni;305;CO: SUNI;SUNI;ORISTANO
1;comuni;282;CO: SEULO GADONI;SEULO;SUD SARDEGNA
1;comuni;281;CO: SEUI;SEUI;SUD SARDEGNA
1;comuni;306;CO: TALANA;TALANA;NUORO
1;comuni;216;CO: PAU;PAU;ORISTANO
1;comuni;214;CO: PALMAS ARBOREA;PALMAS ARBOREA;ORISTANO
1;comuni;218;CO: PAULILATINO;PAULILATINO;ORISTANO
1;comuni;195;CO: ORISTANO;ORISTANO;ORISTANO
1;comuni;233;CO: RIOLA SARDO;RIOLA SARDO;ORISTANO
1;comuni;259;CO: SANTU LUSSURGIU;SANTU LUSSURGIU;ORISTANO
1;comuni;345;CO: VILLA SANT'ANTONIO;VILLA SANT'ANTONIO;ORISTANO
1;comuni;255;CO: SANTA GIUSTA;SANTA GIUSTA;ORISTANO
1;comuni;240;CO: SAMUGHEO;SAMUGHEO;ORISTANO
1;comuni;235;CO: RUINAS;RUINAS;ORISTANO
1;comuni;244;CO: SAN NICOLO' D'ARCIDANO;SAN NICOLO' D'ARCIDANO;ORISTANO
1;comuni;148;CO: MARRUBIU;MARRUBIU;ORISTANO
1;comuni;115;CO: GONNOSTRAMATZA GONNOSCODINA;GONNOSTRAMATZA;ORISTANO
1;comuni;114;CO: GONNOSNO';GONNOSNO';ORISTANO
1;comuni;106;CO: GHILARZA TADASUNI;GHILARZA;ORISTANO
1;comuni;153;CO: MILIS;MILIS;ORISTANO
1;comuni;151;CO: MASULLAS;MASULLAS;ORISTANO
1;comuni;96;CO: FORDONGIANUS;FORDONGIANUS;ORISTANO
1;comuni;155;CO: MOGORELLA;MOGORELLA;ORISTANO
1;comuni;156;CO: MOGORO;MOGORO;ORISTANO
1;comuni;186;CO: OLLASTRA;OLLASTRA;ORISTANO
1;comuni;181;CO: NURECI;NURECI;ORISTANO
1;comuni;177;CO: NURACHI;NURACHI;ORISTANO
1;comuni;167;CO: NARBOLIA;NARBOLIA;ORISTANO
1;comuni;163;CO: MORGONGIORI;MORGONGIORI;ORISTANO
1;comuni;173;CO: NUGHEDU SANTA VITTORIA;NUGHEDU SANTA VITTORIA;ORISTANO
1;comuni;171;CO: NORBELLO;NORBELLO;ORISTANO
1;comuni;169;CO: NEONELI;NEONELI;ORISTANO
1;comuni;249;CO: SAN VITO;SAN VITO;SUD SARDEGNA
1;comuni;52;CO: BUGGERRU;BUGGERRU;SUD SARDEGNA
1;comuni;276;CO: SERDIANA;SERDIANA;SUD SARDEGNA
1;comuni;268;CO: SELARGIUS;SELARGIUS;CAGLIARI
1;comuni;269;CO: SELEGAS;SELEGAS;SUD SARDEGNA
1;comuni;251;CO: SANT'ANDREA FRIUS;SANT'ANDREA FRIUS;SUD SARDEGNA
1;comuni;275;CO: SENORBI';SENORBI';SUD SARDEGNA
1;comuni;280;CO: SETTIMO SAN PIETRO;SETTIMO SAN PIETRO;CAGLIARI
1;comuni;279;CO: SESTU;SESTU;CAGLIARI
1;comuni;63;CO: CARBONIA;CARBONIA;SUD SARDEGNA
1;comuni;61;CO: CALASETTA;CALASETTA;SUD SARDEGNA
1;comuni;3;CO: AIDOMAGGIORE;AIDOMAGGIORE;ORISTANO
1;comuni;0;CO: ABBASANTA;ABBASANTA;ORISTANO
1;comuni;158;CO: MONSERRATO;MONSERRATO;CAGLIARI
1;comuni;5;CO: ALBAGIARA;ALBAGIARA;ORISTANO
1;comuni;9;CO: ARBOREA;ARBOREA;ORISTANO
1;comuni;8;CO: ALLAI;ALLAI;ORISTANO
1;comuni;6;CO: ALES;ALES;ORISTANO
1;comuni;40;CO: BONARCADO;BONARCADO;ORISTANO
1;comuni;36;CO: BIDONI';BIDONI';ORISTANO
1;comuni;30;CO: BAULADU;BAULADU;ORISTANO
1;comuni;26;CO: BARESSA;BARESSA;ORISTANO
1;comuni;25;CO: BARATILI SAN PIETRO;BARATILI SAN PIETRO;ORISTANO
1;comuni;360;CO: VILLAURBANA;VILLAURBANA;ORISTANO
1;comuni;44;CO: BORONEDDU;BORONEDDU;ORISTANO
1;comuni;261;CO: SARROCH;SARROCH;CAGLIARI
1;comuni;12;CO: ARDAULI;ARDAULI;ORISTANO
1;comuni;313;CO: TEULADA;TEULADA;SUD SARDEGNA
